raan animal
mir allegiance
tah pack
laas life
yah seek
nir hunt
mid loyal
vur valor
shaan inspire
feim fade
zii spirit
gron bind
gol earth
hah mind
dov dragon
od snow
ah hunter
viing wing
hun hero
kaal champion
zoor legend
lok sky
vah spring
koor summer
ven wind
gaar unleash
nos strike
zun weapon
haal hand
viik defeat
faas fear
ru run
maar terror
mul strength
qah armor
diiv wyrm
joor mortal
zah finite
frul temporary
gaan stamina
su air
grah battle
dun grace
yol fire
toor inferno
shul sun
fo frost
krah cold
diin freeze
liz ice
slen flesh
nus statue
Kaan Kyne
drem peace
ov trust
krii kill
lun leech
aus suffer
tiid time
klo sand
ul eternity
rii essence
vaaz tear
zol zombie
strun storm
bah wrath
qo lightning
dur curse
neh never
viir dying
zul voice
mey fool
gut far
fus force
ro balance
dah push
wuld whirlwind
nah fury
kest tempest
mul strong
riik gale
fiik mirror
lo deceive
sah phantom
vo undo
diil undead
qoth tomb
nahl living
daal return
vus nirn

