Su Air
Mir Allegiance
Raan Animal
Qah Armor
Ro Balance
Grah Battle
Gron Bind
Kaal Champion
Krah Cold
Dur Curse
Lo Deceive
Viik Defeat
Asfd Dfg
Dov Dragon
Viir Dying
Gol Earth
Greet Eat
Rii Essence
Ul Eternity
Feim Fade
Gut Far
Faas Fear
Frog Fight
Zah Finite
Yol Fire
Slen Flesh
Freel Flight
Graah Fly
Mey Fool
Fus Force
Diin Freeze
Fo Frost
Nah Fury
Riik Gale
Dun Grace
Haal Hand
Graw Hello
Hun Hero
Nir Hunt
Ah Hunter
Liz Ice
Toor Inferno
Shaan Inspire
Krii Kill
Kaan Kyne
Lun Leech
Zoor Legend
Laas Life
Qo Lightning
Nahl Living
Mid Loyal
Hah Mind
Fiik Mirror
Joor Mortal
Neh Never
Vus Nirn
Tah Pack
Drem Peace
Sah Phantom
Dah Push
Daal Return
Ru Run
Klo Sand
Yah Seek
Yaal Sing
Lok Sky
Od Snow
Zii Spirit
Vah Spring
Gaan Stamina
Nus Statue
Strun Storm
Mul Strength
Nos Strike
Mul Strong
Aus Suffer
Koor Summer
Shul Sun
Vaaz Tear
Kest Tempest
Frul Temporary
Maar Terror
Tiid Time
Qoth Tomb
Ov Trust
Diil Undead
Vo Undo
Gaar Unleash
Vur Valor
Zul Voice
Veer Water
Zun Weapon
Wuld Whirlwind
Ven Wind
Viing Wing
Bah Wrath
Diiv Wyrm
Grawl Yell
Zol Zombie
Fraal Fright
